,title,channelTitle,published_date,view_count,like_count,favorite_count,comment_count,duration,durationSeconds,month
0,Dream Home Makeover Season 4 | First Look | Netflix,Netflix,2022-11-11,42104.0,801.0,0.0,65.0,PT1M38S,98.0,Nov
1,Stranger Things: Puzzle Tales | Official Game Trailer | Netflix,Netflix,2022-11-11,65268.0,1992.0,0.0,102.0,PT1M17S,77.0,Nov
2,I Hate Christmas | Official Trailer | Netflix,Netflix,2022-11-11,200052.0,2935.0,0.0,167.0,PT2M4S,124.0,Nov
3,THE CUPHEAD SHOW! | Part 3 - Official Clip | Netflix,Netflix,2022-11-11,632183.0,25943.0,0.0,1860.0,PT4M54S,294.0,Nov
4,Money Heist: Korea - Joint Economic Area Part 2 | Official Teaser | Netflix,Netflix,2022-11-11,93045.0,2566.0,0.0,247.0,PT1M6S,66.0,Nov
5,Dragon Age: Absolution | Official Trailer | Netflix,Netflix,2022-11-10,188990.0,7446.0,0.0,614.0,PT2M,120.0,Nov
6,The Witcher: Blood Origin | Official Teaser Trailer | Netflix,Netflix,2022-11-10,1493298.0,29673.0,0.0,4457.0,PT1M14S,74.0,Nov
7,Our Universe | Official Trailer | Netflix,Netflix,2022-11-10,2151801.0,84995.0,0.0,3273.0,PT1M46S,106.0,Nov
8,Scrooge: A Christmas Carol | Official Trailer | Netflix,Netflix,2022-11-10,139609.0,5514.0,0.0,0.0,PT1M51S,111.0,Nov
9,Wednesday Addams | Welcome to Nevermore | Netflix,Netflix,2022-11-09,601782.0,17580.0,0.0,635.0,PT2M51S,171.0,Nov
10,Crime Scene: The Texas Killing Fields | Official Trailer | Netflix,Netflix,2022-11-09,57903.0,1201.0,0.0,63.0,PT1M52S,112.0,Nov
11,Warrior Nun | Season 1 Official Recap | Netflix,Netflix,2022-11-09,98439.0,1953.0,0.0,152.0,PT3M13S,193.0,Nov
12,GUILLERMO DEL TORO'S PINOCCHIO | Official Trailer | Netflix,Netflix,2022-11-09,802781.0,36409.0,0.0,2346.0,PT2M36S,156.0,Nov
13,The Glass Onion Cast Reacts to the Trailer for Glass Onion: A Knives Out Mystery | Netflix,Netflix,2022-11-09,51978.0,1692.0,0.0,69.0,PT3M16S,196.0,Nov
14,Blood & Water: Season 3 | Official Trailer | Netflix,Netflix,2022-11-09,62913.0,1531.0,0.0,109.0,PT2M12S,132.0,Nov
15,Wednesday Addams | Title Sequence | Netflix,Netflix,2022-11-08,324628.0,13503.0,0.0,827.0,PT1M19S,79.0,Nov
16,Inside Job - Part 2 | Official Trailer | Netflix,Netflix,2022-11-08,810928.0,43851.0,0.0,1864.0,PT2M9S,129.0,Nov
17,Love Is Blind Season 3 | Official Clip: Zanab's Pre Wedding Jitters | Netflix,Netflix,2022-11-08,43327.0,265.0,0.0,181.0,PT1M16S,76.0,Nov
18,The Marriage App | Official Trailer | Netflix,Netflix,2022-11-08,70422.0,1141.0,0.0,51.0,PT1M49S,109.0,Nov
19,Too Hot To Handle: Season 4 | Official Teaser | Netflix,Netflix,2022-11-08,76698.0,627.0,0.0,74.0,PT1M11S,71.0,Nov
20,Triviaverse | Official Trailer | Netflix,Netflix,2022-11-08,55045.0,881.0,0.0,71.0,PT53S,53.0,Nov
21,The Lying Life of Adults | Official Teaser | Netflix,Netflix,2022-11-08,90966.0,1700.0,0.0,128.0,PT1M45S,105.0,Nov
22,Capturing the Killer Nurse | Official Teaser | Netflix,Netflix,2022-11-07,113941.0,1303.0,0.0,135.0,PT53S,53.0,Nov
23,Deon Cole: Charleen’s Boy | Official Trailer | Netflix #shorts,Netflix,2022-11-07,30129.0,1363.0,0.0,11.0,PT42S,42.0,Nov
24,Glass Onion: A Knives Out Mystery | Official Trailer | Netflix,Netflix,2022-11-07,10748998.0,70167.0,0.0,2053.0,PT2M43S,163.0,Nov
25,The Makanai: Cooking for the Maiko House | Official Teaser | Netflix,Netflix,2022-11-06,67133.0,2107.0,0.0,121.0,PT52S,52.0,Nov
26,Irreverent | Official Trailer | Netflix,Netflix,2022-11-06,2915.0,175.0,0.0,6.0,PT2M15S,135.0,Nov
27,New profile icons #StrangerThings,Netflix,2022-11-06,54361.0,3165.0,0.0,70.0,PT59S,59.0,Nov
